Counts_SAQuant_Day_0_1_1	Counts_SAQuant_Day_0_2_1	Counts_SAQuant_Day_0_3_1	Counts_SAQuant_Day_7_1_1	Counts_SAQuant_Day_7_2_1	Counts_SAQuant_Day_7_3_1
ADAM23	13	14	7	3	4	9
ADAM28	453	363	357	211	231	281
ADAM29	1	4	1	1	4	2
ADAM30	0	0	0	0	0	1
ADAM32	129	81	98	72	72	69
ADAM33	19	17	16	20	23	24
ADAM3A	11	6	10	7	7	5
ADAM5	0	0	0	1	1	1
ADAM6	0	0	0	0	0	0
ADAM7	0	2	1	1	0	0
ADAM8	4108	3738	3337	732	737	789
ADAM9	30730	28142	25649	17900	19702	19244
ADAMDEC1	3	2	1	3	6	1
ADAMTS1	172	117	122	391	426	428
ADAMTS10	3	8	7	259	293	290
ADAMTS12	31	38	40	149	171	151
ADAMTS13	274	235	230	513	590	544
ADAMTS14	1212	1063	947	620	629	666
ADAMTS15	806	747	788	1214	1283	1316
ADAMTS16	4	1	0	5	3	0
ADAMTS17	14	21	10	11	17	18
ADAMTS18	68	73	67	58	67	58
ADAMTS19	1	0	2	1	3	4
ADAMTS2	53	49	56	42	47	37
ADAMTS20	5	7	2	2	1	2
ADAMTS3	656	559	528	809	858	839
ADAMTS4	48	30	26	47	57	53
ADAMTS5	1	0	0	0	0	0
ADAMTS6	368	319	300	356	363	420
ADAMTS7	2	6	4	56	44	35
ADAMTS7P1	3	1	0	0	2	2
ADAMTS8	8	3	4	7	14	8
ADAMTS9	2	0	0	1	1	1
ADAMTSL1	0	1	3	3	3	4
ADAMTSL2	38	36	41	28	27	31
ADAMTSL3	0	1	0	0	0	0
ADAMTSL4	78	68	85	177	205	223
ADAMTSL5	235	164	162	162	193	204
ADAP1	3997	3558	3284	2154	2253	2335
ADAP2	55	49	59	55	66	72
ADAR	38407	32855	32454	31755	32593	34867
ADARB1	970	805	694	1463	1583	1687
ADARB2	14	24	17	22	18	14
ADAT1	3754	3363	3131	2161	2064	2254
ADAT2	1049	824	839	972	949	998
ADAT3	97	113	118	89	85	74
ADCK1	253	229	191	224	265	247
ADCK2	828	648	629	394	377	401
ADCK5	1031	950	841	946	1052	1047
ADCY1	1947	1744	1658	4848	4973	5320
ADCY10	23	9	7	38	36	51
ADCY10P1	202	165	177	123	139	168
ADCY2	128	111	99	68	48	90
ADCY3	4026	3536	3188	2072	2109	2218
ADCY4	76	59	72	31	22	29
ADCY5	25	17	18	25	28	25
ADCY6	2175	1868	1726	2401	2448	2469
ADCY7	2638	2331	2104	3095	3117	3340
ADCY8	1	0	0	1	0	1
ADCY9	1647	1500	1356	4987	5173	5471
ADCYAP1	1	0	0	1	1	0
ADCYAP1R1	1	7	1	6	2	5
ADD1	16378	14203	13555	15536	15983	16836
ADD2	0	0	0	1	1	0
ADD3	3314	2795	2663	3179	3440	3522
ADGB	1	0	0	0	0	0
ADGRA1	0	0	0	0	0	0
ADGRA2	52	36	30	147	117	134
ADGRA3	13605	11603	11377	8900	8935	9528
ADGRB1	21	18	15	13	17	21
ADGRB2	374	338	310	1297	1429	1427
ADGRB3	54	36	43	269	284	253
ADGRD1	0	0	0	0	1	0
ADGRE1	0	0	0	1	2	1
ADGRE2	62	50	54	58	61	68
ADGRE3	0	0	0	0	0	0
ADGRE4P	5	7	5	11	7	8
ADGRE5	4912	4300	3980	3676	3760	3986
ADGRF1	22286	19369	18800	2302	2211	2339
ADGRF2	86	88	76	44	52	46
ADGRF3	72	56	47	98	100	95
ADGRF4	206	206	198	16	20	19
ADGRF5	215	183	169	532	508	564
ADGRG1	21338	19039	17468	5948	6189	6360
ADGRG2	125	135	119	603	673	640
ADGRG3	13	12	4	3	3	3
ADGRG4	57	45	58	47	52	43
ADGRG5	0	3	4	5	0	1
ADGRG6	4509	3846	3837	1524	1488	1543
ADGRG7	0	0	0	2	4	1
ADGRL1	3674	3240	3004	2909	2964	3048
ADGRL2	2309	2078	1992	6235	6425	6740
ADGRL3	54	48	43	211	225	209
ADGRL4	8	9	7	13	5	8
ADGRV1	26	16	19	65	84	97
ADH1A	1	0	2	2	2	4
ADH1B	2	2	2	2	7	3
ADH1C	308	256	312	86	89	100
ADH4	74	101	76	66	89	80
ADH5	12433	10622	10305	10092	9930	10646
ADH6	12	13	13	19	11	12
ADH7	0	0	0	0	0	1
ADHFE1	35	29	17	28	32	23
ADI1	5158	4559	4468	4159	4362	4573
ADIG	0	0	0	1	0	0
ADIPOQ	87	66	72	60	69	88
ADIPOR1	5308	4722	4348	3637	3728	3834
ADIPOR2	4754	4061	3913	3028	2990	3231
ADIRF	4499	3993	3415	1481	1450	1493
ADK	4223	3713	3589	2010	2000	2121
ADM	434	442	382	204	198	202
ADM2	1292	1235	1063	464	515	500
ADM5	41	42	40	12	21	19
ADNP	9382	8136	8132	8117	8361	8807
ADNP2	3824	3298	3131	2837	2815	3015
ADO	1368	1161	1067	932	910	991
ADORA1	152	131	134	188	190	203
ADORA2A	52	42	44	55	84	63
ADORA2B	1962	1595	1539	919	920	992
ADORA3	3	1	0	2	0	0
ADPGK	3887	3231	3316	4008	3984	4160
ADPRH	74	73	83	31	51	28
ADPRHL1	614	522	492	429	463	506
ADPRHL2	1659	1403	1312	1244	1213	1209
ADPRM	319	244	218	292	282	274
ADRA1A	20	17	17	9	12	11
ADRA1B	1689	1583	1509	203	211	246
ADRA1D	49	40	36	91	93	85
ADRA2A	0	1	1	2	1	1
ADRA2B	0	1	0	1	0	0
ADRA2C	103	105	84	82	101	92
ADRB1	270	200	224	154	134	159
ADRB2	1166	1022	899	1007	1149	1143
ADRB3	3	2	2	2	2	2
ADRM1	8274	7615	6939	4709	4880	5125
ADSL	5070	4494	4320	3468	3558	3888
ADSS	10212	8494	8367	3746	3660	3853
ADSSL1	1157	1105	972	617	622	608
ADTRP	22	14	11	15	15	23
AEBP1	4	3	3	2	2	6
AEBP2	1373	1297	1049	1235	1380	1313
AEN	1907	1695	1634	861	824	891
AES	5181	4664	4074	4473	4737	4928
AFAP1	13981	12086	12010	6971	7231	7413
AFAP1L1	356	292	270	371	381	395
AFAP1L2	867	785	713	366	398	411
AFDN	7967	6874	6526	4165	4333	4530
AFF1	11375	9944	9429	6221	6428	6687
AFF2	509	408	372	577	595	594
AFF3	59	42	59	53	61	70
AFF4	11032	9534	9400	8645	8521	9241
AFG3L1P	2018	1676	1699	1434	1448	1489
AFG3L2	8220	7441	7006	6592	6539	7020
AFM	1	0	0	1	0	0
AFMID	2376	2105	2008	2464	2482	2579
AFP	10	14	7	14	22	18
AFTPH	4172	3701	3458	2247	2284	2464
AGA	1755	1463	1411	2166	2175	2276
AGAP1	7454	6491	6101	3665	3654	3890
AGAP11	280	248	218	182	180	161
AGAP12P	158	114	129	135	164	163
AGAP2	16	17	22	13	15	13
AGAP3	4251	3801	3562	3269	3295	3610
AGAP4	501	450	452	405	421	491
AGAP5	224	203	187	208	234	216
AGAP6	646	510	494	498	585	541
AGAP7P	175	153	157	130	140	138
AGAP9	402	364	341	390	412	436
AGBL1	0	0	0	0	0	0
AGBL2	60	44	42	100	128	118
AGBL3	161	128	117	127	139	151
AGBL4	15	17	12	14	17	23
AGBL5	3193	2751	2584	2556	2701	2694
AGER	311	302	286	220	266	249
AGFG1	4784	4190	4074	3114	3175	3326
AGFG2	514	442	423	216	206	218
AGGF1	2745	2396	2171	2075	2001	2259
AGK	2478	2228	2020	2102	2208	2311
AGL	2985	2529	2582	2690	2779	2913
AGMAT	220	191	180	180	177	193
AGMO	130	80	80	144	150	175
AGO1	3755	3065	2995	2907	2875	3027
AGO2	4517	3892	3617	2523	2556	2556
AGO3	841	758	730	636	697	745
AGO4	1617	1438	1429	1290	1405	1465
AGPAT1	2134	1929	1860	2520	2574	2538
AGPAT2	3553	3112	2880	1795	1896	1907
AGPAT3	1752	1459	1303	1759	1811	1937
AGPAT4	2047	1777	1571	4092	4185	4455
AGPAT5	3181	2820	2672	2202	2217	2315
AGPS	5190	4567	4458	3724	3955	4128
AGR2	15654	13532	12399	914	988	952
AGR3	194	128	136	34	32	31
AGRN	33620	30309	27180	22167	23921	24249
AGRP	5	5	5	3	2	8
AGT	13	6	9	13	13	20
AGTPBP1	3706	3093	3010	1793	1701	1837
AGTR1	0	1	1	0	2	0
AGTR2	9	6	6	7	6	3
AGTRAP	1553	1223	1180	1042	1045	1035
AGXT	0	0	1	0	1	0
AGXT2	0	1	0	0	0	0
AHCTF1	8739	7519	7539	5562	5519	5862
AHCTF1P1	22	21	14	15	13	13
AHCY	13874	12117	11667	9761	9829	10557
AHCYL1	14312	12418	11932	9180	9045	9817
AHCYL2	2483	2124	2029	2009	2086	2344
AHDC1	5202	4698	4115	4194	4538	4469
AHI1	1100	909	905	864	914	996
AHNAK	181712	157697	150656	149349	156445	165446
AHNAK2	33603	29378	26499	17472	18450	19170
AHR	3869	3479	3480	4521	5055	5056
AHRR	770	706	665	9556	10098	10440
AHSA1	9066	7765	7330	5501	5467	5775
AHSA2	3443	3008	2718	3807	4089	3923
AHSG	1	3	4	0	0	0
AHSP	1	0	0	0	0	0
AICDA	45	35	47	32	49	41
AIDA	4750	4050	4003	3474	3267	3600
AIF1	0	0	1	2	0	0
AIF1L	4653	4055	3837	1099	1153	1156
AIFM1	3156	2801	2650	2097	2233	2447
AIFM2	323	326	328	534	597	636
AIFM3	53	58	55	34	36	27
AIG1	2626	2231	2083	1474	1528	1507
AIM1	13139	10912	10686	4367	4204	4614
AIM1L	507	446	421	42	55	58
AIM2	1603	1337	1422	676	683	737
AIMP1	5075	4583	4399	3275	3598	3492
AIMP2	1871	1612	1522	1093	1205	1287
AIP	3116	2708	2524	2677	2869	2950
AIPL1	31	36	20	12	21	18
AIRE	22	18	23	11	17	17
AIRN	0	0	0	1	0	1
AJAP1	13	11	7	4	4	7
AJUBA	12050	10969	10215	8587	9315	9418
AK1	2175	2002	1898	3824	4033	4295
AK2	14571	12486	11697	8409	8254	8425
AK3	3201	2914	2665	3011	3069	3217
AK4	2426	2219	2151	1845	1889	2013
AK5	12	10	9	10	7	12
AK6	1764	1486	1363	912	937	991
AK7	36	19	16	13	12	13
AK8	97	88	71	70	77	68
AK9	307	284	282	238	253	280
AKAIN1	0	0	0	0	2	1
AKAP1	7221	6388	6093	3716	3680	3859
AKAP10	3165	2624	2588	2629	2726	2829
AKAP11	7132	6138	5959	5361	5846	5974
AKAP12	1381	1253	1109	4403	4651	4762
AKAP13	10089	8691	8322	7222	7502	7876
AKAP14	11	12	13	5	14	10
AKAP17A	3909	3446	3052	2934	3208	3098
AKAP2	14977	12898	12819	6719	6736	7226
